Type,Act,Volume,Chapter,Eps,Date,,,,Key,
S,1,Prologue,,1-2,Launch,,,,S,Main Story
S,1,Volume 1 - Foreclosure Task Force: Strange Days for the Task Force,1,1-20,21/11/08,,,,E,Event
G,,Gourmet Research Society,,1-4,21/11/08,,,,G,Group Story
G,,Problem Solver 68,,1,21/11/08,,,,M,Mini Story
G,,Engineering Department,,1-3,21/11/08,,,,,
G,,School Lunch Club,,1-2,21/11/08,,,,,
G,,Remedial Knights,,1-3,21/11/08,,,,Events are located at Story -> Replay -> Event Stories.,
G,,Justice Task Force,,1-2,21/11/08,,,,Special Mission Decagrammaton is now Ex. Decagrammaton Episode and is in the Main Story section.,
G,,Prefect Team,,1,21/11/08,,,,,
G,,After-School Sweets Club,,1,21/11/08,,,,Episode counts come from the Story archive and may not match the event itself. They also include any Afterwords.,
G,,Forclosure Task Force,,1-2,21/11/08,,,,,
G,,Plum Blosson Garden,,1,21/11/08,,,,Special thanks to /u/Yay295 for pointing out errors.,
S,1,Volume 1 - Foreclosure Task Force: Things Lost and Others Held On To,2,1-20,21/11/16,,,,Big thanks to the Aira Delasse channel for helping pin down dates.,
E,,Cherry Blossom Festival Commotion,,1-13,21/11/29,,,,,
G,,Festival Operations Department,,1,21/11/29,,,,,
G,,Inner Discipline Club,,1-2,21/11/29,,,,Dates are listed YY/MM/DD.,
S,1,Volume 2 - Clockwork Flower Pavane: Retromania,1,1-20,21/12/14,,,,,
G,,Game Development Dept,,1-2,21/12/14,,,,Short video on how to filter only what you want to see.,
E,,A Revolutionary Ivan Kupala,,1-11,22/01/11,,,,https://www.youtube.com/watch?v=GSWD0pssFcQ,
S,1,"Volume 3 - Eden Treaty: Make-up Work Clup, Here We Go!",1,1-9,22/01/25,,,,,
E,,Summer Sky's Wish List,,1-21,22/02/22,,,,Sorry it's ugly.,
E,,Head Prefect Hina's Summer Break!,,1-12,22/03/22,,,,,
G,,Prefect Team,,2,22/03/22,,,,,
G,,Inner Discipline Club,,3-4,22/03/22,,,,,
S,1,"Volume 3 - Eden Treaty: Make-up Work Clup, Here We Go!",1,10-17,22/04/05,,,,,
